addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0,0,0,0,0,0,0.005833969018179718,0,0,0,0,0,0.0412051965405546,0.009351385052666871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044349373885603,0,0,0.01166363691252847,0,0,0.028917136468775716,0,0,0.01937948983814356,0.010055868388019454,0,0,0,0,0,0,0.007580935303396406,0,0,0,0,0,0.09849845771884351,0.04846660915180396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4775291979299092,0,0,0.06419441831363708,0,0,0.16226241774157404,0,0,0.4073838282680349,0.29073161281299265
0,0,0,0,0,0,0.0058335443951847595,0,0,0,0,0,0.03473300169419197,0.007485324616978661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036345262660739687,0,0,0.011849755172524392,0,0,0.03951703334524519,0,0,0.018884427404845232,0.010208453616547469,0,0,0,0,0,0,0.007424075113087286,0,0,0,0,0,0.10207670097883481,0.04865835558133843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4550137130154615,0,0,0.06175923152122721,0,0,0.15451295045142985,0,0,0.3834420281825927,0.27906642536429294
0,0,0,0,0,0,0.005808432192685319,0,0,0,0,0,0.028874453902673944,0.006658628604686995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003155729817430109,0,0,0.011972103596649264,0,0,0.05135019832864138,0,0,0.018338504576654244,0.01037505288113644,0,0,0,0,0,0,0.007357296192274039,0,0,0,0,0,0.1061812274993943,0.04861753716970349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42916168622294115,0,0,0.0601718479446659,0,0,0.14658840269753654,0,0,0.35613765263997255,0.2656547355798213
0,0,0,0,0,0,0.005758714567249115,0,0,0,0,0,0.02372182202975869,0.006635170139051822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294423679297993,0,0,0.012010131149337114,0,0,0.06413570393586594,0,0,0.01770831576526818,0.010531723488176015,0,0,0,0,0,0,0.0073615575487005255,0,0,0,0,0,0.11073277275270085,0.04855275990430533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40114923392208696,0,0,0.059356669328525805,0,0,0.13850508587093244,0,0,0.3263650109410709,0.2510249650704542
0,0,0,0,0,0,0.005686789936096376,0,0,0,0,0,0.0193317565233964,0.007194791610331679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029446549434685608,0,0,0.011943898095315226,0,0,0.07752644962616023,0,0,0.016984839219062183,0.010659105548192264,0,0,0,0,0,0,0.007417078649561864,0,0,0,0,0,0.1157100612781752,0.048741399519803504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3721436995460336,0,0,0.05917765010035898,0,0,0.13028009905384197,0,0,0.29505003383942086,0.23573294072793677
0,0,0,0,0,0,0.005596992239711024,0,0,0,0,0,0.01572455644926605,0.008139403850894832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031040633141068428,0,0,0.011755606890298248,0,0,0.09112557531911458,0,0,0.016181193941667782,0.010743367429561428,0,0,0,0,0,0,0.0075045861798747615,0,0,0,0,0,0.12114002366467409,0.04951799163725828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3432270425489498,0,0,0.0594497263217529,0,0,0.12193268660523005,0,0,0.26311193640967806,0.22032509797870764
0,0,0,0,0,0,0.0054951223679083365,0,0,0,0,0,0.012886249233577623,0.009297242950208512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033747707751095864,0,0,0.011431378276166717,0,0,0.10450826065567366,0,0,0.015328799695340664,0.01077674159903688,0,0,0,0,0,0,0.0076063447199473805,0,0,0,0,0,0.12708285372,0.051255255096061436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3153325825499037,0,0,0.05995588408661499,0,0,0.11348541202451316,0,0,0.23143088190143712,0.20530361407971037
0,0,0,0,0,0,0.005387922753493331,0,0,0,0,0,0.010772948841777477,0.010525376387683852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037162162990622455,0,0,0.01096321931797418,0,0,0.11724721085625606,0,0,0.014472507072447767,0.010757643489200473,0,0,0,0,0,0,0.007706914920622352,0,0,0,0,0,0.13361522483461796,0.05433924253780738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2891999345974858,0,0,0.06046817123936378,0,0,0.10496629895362515,0,0,0.20081960795288278,0.19109714583040946
0,0,0,0,0,0,0.005282499238577936,0,0,0,0,0,0.009316794732702445,0.011710589161798958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004096004844715791,0,0,0.010351129657017162,0,0,0.12893912711385508,0,0,0.013665161671382828,0.01069039818211436,0,0,0,0,0,0,0.007793642253496032,0,0,0,0,0,0.1408140565751493,0.05914072448180454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26534934653518716,0,0,0.06077022854911908,0,0,0.09641206995568768,0,0,0.17199721797376663,0.17803989420607344
0,0,0,0,0,0,0.005185689953219864,0,0,0,0,0,0.008432723406456314,0.012768806410407747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004490123114092889,0,0,0.009605276762353947,0,0,0.13922855633410813,0,0,0.012962003426148467,0.010584608948716627,0,0,0,0,0,0,0.00785691625657443,0,0,0,0,0,0.14874222434509396,0.06598534766231866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24407430581535994,0,0,0.06067837754482398,0,0,0.08787156823815619,0,0,0.14556691842067804,0.16636033272868642
